"filename", "language", "PHP", "JSON", "Markdown", "XML", "YAML", "JavaScript", "CSS", "Batch", "Shell Script", "SQLite", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\cscs\build\scss\parts\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 2, 10
"c:\xampp\htdocs\cscs\build\scss\parts\_pages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 2, 15
"c:\xampp\htdocs\cscs\build\scss\parts\_plugins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 2, 17
"c:\xampp\htdocs\cscs\build\scss\parts\adminlte.components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 11, 4, 21
"c:\xampp\htdocs\cscs\build\scss\parts\adminlte.core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 11, 4, 22
"c:\xampp\htdocs\cscs\build\scss\parts\adminlte.extra-components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 11, 4, 21
"c:\xampp\htdocs\cscs\build\scss\parts\adminlte.pages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 11, 4, 22
"c:\xampp\htdocs\cscs\build\scss\parts\adminlte.plugins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 11, 4, 21
"c:\xampp\htdocs\cscs\build\scss\plugins\_bootstrap-slider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 6, 43
"c:\xampp\htdocs\cscs\build\scss\plugins\_bootstrap-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 13, 27, 189
"c:\xampp\htdocs\cscs\build\scss\plugins\_fullcalendar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 6, 24, 134
"c:\xampp\htdocs\cscs\build\scss\plugins\_icheck-bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 5, 8, 51
"c:\xampp\htdocs\cscs\build\scss\plugins\_jqvmap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 3, 22
"c:\xampp\htdocs\cscs\build\scss\plugins\_mapael.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 3, 10, 71
"c:\xampp\htdocs\cscs\build\scss\plugins\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 7, 8, 66
"c:\xampp\htdocs\cscs\build\scss\plugins\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 5, 12, 75
"c:\xampp\htdocs\cscs\build\scss\plugins\_pace.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 4, 38, 212
"c:\xampp\htdocs\cscs\build\scss\plugins\_select2.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 21, 55, 318
"c:\xampp\htdocs\cscs\build\scss\plugins\_sweetalert2.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 4, 10, 52
"c:\xampp\htdocs\cscs\build\scss\plugins\_toastr.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 31, 9, 61
"c:\xampp\htdocs\cscs\classes\DBConnection.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\xampp\htdocs\cscs\classes\Login.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 100
"c:\xampp\htdocs\cscs\classes\Master.php", "PHP", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 316
"c:\xampp\htdocs\cscs\classes\SystemSettings.php", "PHP", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 261
"c:\xampp\htdocs\cscs\classes\Users.php", "PHP", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 147
"c:\xampp\htdocs\cscs\config.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 80
"c:\xampp\htdocs\cscs\database\cscs_db.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 104, 53, 289
"c:\xampp\htdocs\cscs\dist\css\adminlte.css", "CSS", 0, 0, 0, 0, 0, 0, 27469, 0, 0, 0, 0, 0, 21, 5484, 32974
"c:\xampp\htdocs\cscs\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 12
